,Names,Phones,Website,Street,City,State,Zip,Clg_type,Award,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
214,Arkansas State University,(870) 972-2100,www.astate.edu/,2105 E. Aggie Road, Jonesboro,Arkansas,72401,"4-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Small,Yes,"13,106 (8,486 undergraduate)",14 to 1
215,Arkansas State University Mid-South,(870) 733-6722,www.asumidsouth.edu/,2000 W.  Broadway, West Memphis,Arkansas,72301-3829,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,"1,203 (all undergraduate)",9 to 1
216,Arkansas State University Three Rivers,(501) 337-5000 x1100,www.asutr.edu/,One College Circle, Malvern,Arkansas,72104-0816,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Town: Fringe,No,"1,243 (all undergraduate)",14 to 1
217,Arkansas State University-Beebe,(501) 882-3600,www.asub.edu/,1000 Iowa Street, Beebe,Arkansas,72012-1000,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Town: Fringe,Yes,"2,982 (all undergraduate)",17 to 1
218,Arkansas State University-Mountain Home,(870) 508-6100,www.asumh.edu/,1600 South College Street, Mountain Home,Arkansas,72653,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Fringe,No,"1,271 (all undergraduate)",14 to 1
219,Arkansas State University-Newport,(870) 512-7800,www.asun.edu/,7648 Victory Blvd, Newport,Arkansas,72112,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Distant,No,"1,941 (all undergraduate)",13 to 1
220,Arkansas Tech University,(844) 804-2628,www.atu.edu/,Administration Bldg 200, 1509 N Boulder Ave,Arkansas,72801-2222,"4-year, primarily associate's, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship,Town: Remote,Yes,"10,829 (10,110 undergraduate)",17 to 1
221,Arkansas Welding Academy,(501) 982-9353,www.arkansasweldingacademy.com/,1920 North Redmond Road, Jacksonville,Arkansas,72076,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,28 (all undergraduate),8 to 1
222,Arlington Career Institute,(972) 647-1607 x223,www.arlingtoncareerinstitute.edu/,901 Ave K, Grand Prairie,Texas,75050-2636,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,344 (all undergraduate),28 to 1
223,Arnolds Beauty School,(731) 686-7351,arnoldsbeautyschool.com/,1179 S Second St, Milan,Tennessee,38358,"2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,73 (all undergraduate),12 to 1
224,Arnot Ogden Medical Center,(607) 737-4153,www.arnothealth.org/,600 Roe Avenue, Elmira,New York,14905-1676,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Small,No,38 (all undergraduate),4 to 1
225,Arrojo Cosmetology School,(212) 242-7786 x408,www.arrojocosmetology.com/,56 King St., New York,New York,10014,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,48 (all undergraduate),7 to 1
226,Arthur's Beauty College,(501) 329-7770,www.arthursbeautycollege.com/,2320 Washington Avenue, Conway,Arkansas,72032,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,77 (all undergraduate),19 to 1
227,Arthur's Beauty College,(870) 932-4330,www.arthursbeautycollege.com/,1903 Grant Avenue Suites, K,Arkansas,72401,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,74 (all undergraduate),19 to 1
228,Arthur's Beauty College,(501) 982-8987,arthursbeautycollege.com/,2600 John Harden Drive, Jacksonville,Arkansas,72076,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,57 (all undergraduate),19 to 1
229,Arthur's Beauty College,(479) 783-3301,www.arthursbeautycollege.com/,2000 North B Street, Fort Smith,Arkansas,72901-3342,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,29 (all undergraduate),15 to 1
230,Artistic Academy of Hair Design,(973) 656-1401 x0,www.artisticacademy.com/,301 Gibraltar Drive, Suite 1-A,New Jersey,07950,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,137 (all undergraduate),22 to 1
231,Artistic Nails and Beauty Academy-Lakeland,(863) 682-4247,www.artistic.edu/,985 E Memorial Blvd, Lakeland,Florida,33801,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,204 (all undergraduate),15 to 1
232,Artistic Nails and Beauty Academy-Tampa,(813) 654-4529,www.artistic.edu/,4951-A Adamo Drive Ste 120, Tampa,Florida,33605,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,227 (all undergraduate),14 to 1
233,ASA College,(718) 522-9073,www.asa.edu/,151 Lawrence Street, Brooklyn,New York,11201-9805,"4-year, primarily associate's, Private for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,City: Large,Yes,"2,965 (all undergraduate)",11 to 1
234,Asher College,(916) 649-9600,www.asher.edu/,1215 Howe Ave Suite 101, Sacramento,California,95825,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,748 (all undergraduate),23 to 1
235,Asher Institute of Hampton,(757) 723-4809,www.aiofhampton.edu/,4107 West Mercury Blvd, Hampton,Virginia,23666,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,8 (all undergraduate),17 to 1
236,Asheville-Buncombe Technical Community College,(828) 254-1921,www.abtech.edu/,340 Victoria Rd, Asheville,North Carolina,28801-4897,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Small,No,"6,601 (all undergraduate)",14 to 1
237,Ashland Community and Technical College,(606) 326-2000,ashland.kctcs.edu/,1400 College Drive, Ashland,Kentucky,41101-3683,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Small,No,"2,400 (all undergraduate)",16 to 1
238,Ashland County-West Holmes Career Center,(419) 289-3313,www.acwhcc.org/,1783 State Route 60, Ashland,Ohio,44805-9377,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Rural: Distant,No,37 (all undergraduate),4 to 1
239,Ashland University,(800) 882-1548,www.ashland.edu/,401 College Avenue, Ashland,Ohio,44805,"4-year, Private not-for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,Town: Fringe,Yes,"4,447 (3,148 undergraduate)",16 to 1
240,Ashtabula County Technical and Career Campus,(440) 576-6015 x1007,www.atech.edu/,1565 State Route 167, Jefferson,Ohio,44047,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Rural: Fringe,No,129 (all undergraduate),8 to 1
241,ASI Career Institute,(856) 232-4677,www.asi.edu/,5360 Black Horse Pike Suite 6, Turnersville,New Jersey,08012-1043,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,32 (all undergraduate),9 to 1
242,Asian-American International Beauty College,(714) 891-0508,www.aabeautycollege.com/,7871 Westminster Blvd, Westminster,California,92683,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,420 (all undergraduate),28 to 1
243,ASM Beauty World Academy,(954) 985-2880,www.ahwbarberacademy.com/,6672 &amp; 6674 Stirling Road, Hollywood,Florida,33024,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,0,0
244,Asnuntuck Community College,(860) 253-3000,www.asnuntuck.edu/,170 Elm St, Enfield,Connecticut,06082,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,"1,304 (all undergraduate)",12 to 1
245,Aspen Beauty Academy of Laurel,(301) 490-8580,www.aspenlaurel.edu/,3535 Fort Meade Road, Laurel,Maryland,20724,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,80 (all undergraduate),18 to 1
246,Aspen University,(303) 333-4224,www.aspen.edu/,1660 South Albion Street, Suite 525,Colorado,80222,"4-year, Private for-profit",Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship,City: Large,No,"9,563 (6,399 undergraduate)",8 to 1
247,ASPIRA City College,(215) 455-2300 x7009,www.aspiracitycollege.edu/,4322 N. 5th Street, Philadelphia,Pennsylvania,19140-2302,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,City: Large,No,5 (all undergraduate),2 to 1
248,Assabet Valley Regional Technical School,(508) 485-9430,www.assabet.org/,215 Fitchburg St, Marlborough,Massachusetts,01752,"2-year, Public",One but less than two years certificate,Suburb: Large,No,46 (all undergraduate),8 to 1
249,Associated Barber College of San Diego,(619) 234-7703 x104,sandiegobarbercollege.com/,1333 5th Avenue, San Diego,California,92101-4210,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,81 (all undergraduate),15 to 1
250,Associated Beth Rivkah Schools,(718) 735-0400,dhl.bethrivkah.edu/,310 Crown Street, Brooklyn,New York,11225-0000,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree,City: Large,No,259 (all undergraduate),19 to 1
251,Associated Technical College-Los Angeles,(213) 413-6808,www.atcla.edu/,1670 Wilshire Blvd, Los Angeles,California,90017-1604,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,92 (all undergraduate),19 to 1
252,Associated Technical College-San Diego,(619) 234-2181 x309,www.atcsd.edu/,2650 Camino Del Rio North, Ste. 100,California,92108-1630,"2-year, Private for-profit",Less than one year certificate,City: Large,No,45 (all undergraduate),8 to 1
253,Assumption College for Sisters,(973) 957-0188 x101,www.ahwbarberacademy.com/,200 A Morris Avenue, Denville,New Jersey,07834,"2-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,Yes,45 (all undergraduate),5 to 1
254,Assumption University,(508) 767-7000,www.assumption.edu/,500 Salisbury St, Worcester,Massachusetts,01609-1296,"4-year, Private not-for-profit",Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate,City: Midsize,Yes,"2,448 (2,027 undergraduate)",13 to 1
255,ATA Career Education,(352) 684-3007,www.atafl.edu/,7351 Spring Hill Drive, Suite 11,Florida,34606,"2-year, Private for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Midsize,No,230 (all undergraduate),15 to 1
256,ATA College,(918) 496-0800,www.ata.edu/,10820 E 45th St Suite 100, Tulsa,Oklahoma,74146,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,City: Large,No,78 (all undergraduate),25 to 1
257,ATA College,(502) 371-8330,www.ata.edu/,10200 Linn Station Rd Ste 125, Louisville,Kentucky,40223,"2-year, Private for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,298 (all undergraduate),15 to 1
258,ATA College,(619) 596-2766,www.advancedtraining.edu/,1810 Gillespie Way, Suite 104,California,92020,"2-year, Private for-profit",Less than one year certificate<br/>Associate's degree,Suburb: Large,No,83 (all undergraduate),18 to 1
259,ATA College-Cincinnati,(513) 671-1920,www.ata.edu/,225 Pictoria Drive, Suite 200,Ohio,45246,"2-year, Private for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,231 (all undergraduate),10 to 1
260,Atelier Esthetique Institute of Esthetics,(212) 725-6130 x56130,www.aeinstitute.net/,226 East 26th Street 7th Floor, New York,New York,10001,"2-year, Private for-profit",Less than one year certificate,City: Large,No,250 (all undergraduate),41 to 1
261,Atenas College,(787) 884-3838,www.atenascollege.edu/,Paseo del Atenas  #101, Manati,Puerto Rico,00674-0000,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Suburb: Large,No,558 (all undergraduate),17 to 1
262,Athena Career Academy,(419) 472-1150,www.athenacareers.edu/,5203 Airport Hwy, Toledo,Ohio,43615,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,338 (all undergraduate),41 to 1
263,Athenaeum of Ohio,(513) 231-2223,www.athenaeum.edu/,6616 Beechmont Ave, Cincinnati,Ohio,45230-2091,"4-year, Private not-for-profit",Less than one year certificate<br/>Postbaccalaureate certificate<br/>Master's degree,City: Large,Yes,160 (44 undergraduate),8 to 1
264,Athens State University,(256) 233-8100,www.athens.edu/,300 N Beaty St, Athens,Alabama,35611,"4-year, Public",Less than one year certificate<br/>Bachelor's degree<br/>Master's degree,Town: Fringe,No,"2,867 (2,688 undergraduate)",15 to 1
265,Athens Technical College,(706) 355-5000,www.athenstech.edu/,800 U.S. Hwy 29 North, Athens,Georgia,30601,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Midsize,No,"4,294 (all undergraduate)",13 to 1
266,ATI College-Norwalk,(562) 864-0506,www.ati.edu/,15141 Whittier Blvd Suite 420, Whitter,California,90603-0000,"4-year, primarily associate's, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate<br/>Bachelor's degree,Suburb: Large,No,83 (all undergraduate),20 to 1
267,Atlanta Institute of Music and Media,(770) 242-7717,aimm.edu/,2875 Breckinridge Blvd., Suite 700,Georgia,30096,"2-year, Private for-profit",One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,270 (all undergraduate),15 to 1
268,Atlanta Metropolitan State College,(404) 756-4000,www.atlm.edu/,1630 Metropolitan Parkway, SW,Georgia,30310-4448,"4-year, primarily associate's, Public",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree,City: Large,No,"1,704 (all undergraduate)",20 to 1
269,Atlanta School of Massage,(678) 805-0132,www.atlantaschoolofmassage.com/,2 Dunwoody Park South, Atlanta,Georgia,30338,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,303 (all undergraduate),24 to 1
270,Atlanta Technical College,(404) 225-4400,www.atlantatech.edu/,1560 Metropolitan Pkwy SW, Atlanta,Georgia,30310-4446,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Large,No,"3,030 (all undergraduate)",12 to 1
271,Atlantic Beauty & Spa Academy LLC,(609) 645-3635,www.shorebeautyschool.edu/,3003 English Creek Avenue, Egg Harbor Township,New Jersey,08234,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Midsize,No,137 (all undergraduate),18 to 1
272,Atlantic Cape Community College,(609) 625-1111,www.atlantic.edu/,5100 Black Horse Pike, Mays Landing,New Jersey,08330-2699,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Fringe,No,"4,464 (all undergraduate)",23 to 1
273,Atlantic Technical College,(754) 321-5100,www.atlantictechnicalcollege.edu/,4700 Coconut Creek Parkway, Coconut Creek,Florida,33063-3902,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,"2,543 (all undergraduate)",12 to 1
274,Atlantis University,(305) 377-8817 x1005,www.atlantisuniversity.edu/,1442 Biscayne Boulevard, Miami,Florida,33132,"4-year, Private for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Large,No,550 (121 undergraduate),25 to 1
275,Auburn Career Center,(440) 357-7542,www.auburncc.org/,8140 Auburn Rd, Concord Twp,Ohio,44077,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Rural: Fringe,No,202 (all undergraduate),8 to 1
276,Auburn University,(334) 844-4000,www.auburn.edu/,Auburn, Alabama 36849,Alabama,36849,"4-year, Public",Less than one year certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice<br/>Doctor's degree - other,City: Small,Yes,"30,737 (24,505 undergraduate)",20 to 1
277,Auburn University at Montgomery,(334) 244-3000,www.aum.edu/,7440 East Drive, Montgomery,Alabama,36117-3596,"4-year, Public",Less than one year certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Midsize,Yes,"5,212 (4,375 undergraduate)",16 to 1
278,Augsburg University,(612) 330-1000,www.augsburg.edu/,2211 Riverside Ave, Minneapolis,Minnesota,55454,"4-year, Private not-for-profit",One but less than two years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - professional practice,City: Large,Yes,"3,346 (2,512 undergraduate)",13 to 1
279,Augusta School of Massage,(706) 863-4799,www.augustamassage.com/,608 Ponder Place Dr, Evans,Georgia,30809,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,20 (all undergraduate),11 to 1
280,Augusta Technical College,(706) 771-4000,www.augustatech.edu/,3200 Augusta Tech Drive, Augusta,Georgia,30906,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Midsize,No,"3,863 (all undergraduate)",15 to 1
281,Augusta University,(706) 721-0211,www.augusta.edu/,1120 15th St, Augusta,Georgia,30912,"4-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Midsize,Yes,"8,920 (5,674 undergraduate)",17 to 1
282,Auguste Escoffier School of Culinary Arts-Austin,(512) 451-5743,www.escoffier.edu/,6020-B Dillard Circle, Austin,Texas,78752,"2-year, Private for-profit",Less than one year certificate<br/>Associate's degree,City: Large,No,610 (all undergraduate),23 to 1
283,Auguste Escoffier School of Culinary Arts-Boulder,(303) 494-7988,www.escoffier.edu/,637 S Broadway, Ste H,Colorado,80305,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Midsize,No,"7,600 (all undergraduate)",97 to 1
284,Aultman College of Nursing and Health Sciences,(330) 363-6347,www.aultmancollege.edu/,2600 6th St SW, Canton,Ohio,44710-1797,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree,City: Small,No,355 (all undergraduate),9 to 1
285,Austin Career Institute,(512) 677-7776,www.austincareerinstitute.edu/,8711 Burnet Road, Austin,Texas,78757-7066,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,91 (all undergraduate),46 to 1
286,Austin Community College District,(512) 223-7000,www.austincc.edu/,5930 Middle Fiskville Rd, Austin,Texas,78752,"4-year, primarily associate's, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,City: Large,No,"39,896 (all undergraduate)",20 to 1
287,Austin Kade Academy,(208) 346-7300,www.austinkade.com/,1646 South Woodruff Avenue, Idaho Falls,Idaho,83404-5540,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,89 (all undergraduate),11 to 1
288,Austin's Beauty College Inc,(931) 647-6543 x100,www.austinbeautycollege.com/,585A South Riverside Drive, Clarksville,Tennessee,37040-1121,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,110 (all undergraduate),10 to 1
289,Automeca Technical College-Aguadilla,(787) 882-2828,www.automeca.com/,Parque Industrial La Montana Km09 Edif932, Aguadilla,Puerto Rico,00605,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,192 (all undergraduate),13 to 1
290,Automeca Technical College-Bayamon,(787) 779-6161,www.automeca.com/,Carr.No.2 Km14.0 Hato Tejas, Bayamon,Puerto Rico,00961,"2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,348 (all undergraduate),26 to 1
291,Automeca Technical College-Caguas,(787) 746-3468,www.automeca.com/,Calle Munoz Rivera No.69, Caguas,Puerto Rico,00725,"2-year, Private for-profit",One but less than two years certificate,City: Small,No,104 (all undergraduate),13 to 1
292,Automeca Technical College-Ponce,(787) 840-7880,www.automeca.com/,Calle Villa No.452, Ponce,Puerto Rico,00731,"2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,148 (all undergraduate),10 to 1
293,Automotive Training Center-Exton,(610) 363-6716,www.autotraining.edu/,114 Pickering Way, Exton,Pennsylvania,19341-1310,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,321 (all undergraduate),24 to 1
294,Automotive Training Center-Warminster,(215) 259-1900,www.autotraining.edu/,900 Johnsville Blvd, Warminster,Pennsylvania,18974,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,Suburb: Large,No,272 (all undergraduate),20 to 1
295,Autry Technology Center,(580) 242-2750,autrytech.edu/,1201 W Willow, Enid,Oklahoma,73703-2506,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Town: Remote,No,706 (all undergraduate),9 to 1
296,Avalon School of Cosmetology,(507) 372-2344,www.avaloncosmetologyschool.com/,1428 N McMillan St, Worthington,Minnesota,56187,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,Town: Remote,No,19 (all undergraduate),10 to 1
297,Avalon School of Cosmetology-Aurora,(303) 752-1560,avalon.edu/locations/aurora-co/,2231 S Peoria Street, Aurora,Colorado,80014,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,158 (all undergraduate),18 to 1
298,Avalon School of Cosmetology-Layton,(801) 614-5040,avalon.edu/locations/layton-ut/,1992 W Antelope Drive, Layton,Utah,84041,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,206 (all undergraduate),20 to 1
299,Avalon School of Cosmetology-Mesa,(480) 897-1688,avalon.edu/locations/mesa-az/,2111 S Alma School Rd Ste 21, Mesa,Arizona,85210,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,340 (all undergraduate),20 to 1
300,Avalon School of Cosmetology-Phoenix,(602) 443-0076,avalon.edu/locations/phoenix-az/,410 E Bell Road, Suite G100,Arizona,85022,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,437 (all undergraduate),21 to 1
301,Aveda Arts & Sciences Institute-Baton Rouge,(225) 295-1435,avedaarts.edu/,2834 S Sherwood Forest Blvd Ste A, Baton Rouge,Louisiana,70816-2246,"2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,138 (all undergraduate),15 to 1
302,Aveda Arts & Sciences Institute-Covington,(985) 892-3826 x1224,avedaarts.edu/,1355 Polders Lane, Covington,Louisiana,70433,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Small,No,"2,337 (all undergraduate)",15 to 1
303,Aveda Arts & Sciences Institute-Lafayette,(985) 415-7569,avedaarts.edu/,2922 Johnston St, Lafayette,Louisiana,70503-3246,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,153 (all undergraduate),15 to 1
304,Aveda Arts & Sciences Institute-San Antonio,(985) 415-7569,avedaarts.edu/,21003 Encino Commons Ste 121, San Antonio,Texas,78259-2792,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,362 (all undergraduate),15 to 1
305,Aveda Fredric's Institute-Cincinnati,(513) 533-0700,www.avedafi.edu/,7664 Voice of America Centre Drive, West Chester,Ohio,45069,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,345 (all undergraduate),14 to 1
306,Aveda Fredric's Institute-Indianapolis,(513) 533-0700,www.avedafi.edu/,6020 E 82nd St, Indianapolis,Indiana,46250,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,288 (all undergraduate),11 to 1
307,Aveda Institute Portland-Vancouver Campus,(360) 326-0567 x382,avedapdx.com/about-our-school/locations/vancouver,6615 North East 4th Plain Boulevard, Vancouver,Washington,98661-7264,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,City: Midsize,No,156 (all undergraduate),16 to 1
308,Aveda Institute-Boise,(208) 345-6164,www.avedaidaho.com/,10222 W Fairview Ave, Boise,Idaho,83704-4406,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,49 (all undergraduate),7 to 1
309,Aveda Institute-Chapel Hill,(919) 960-4769,www.nurturavedainstitutes.com/chapel-hill/,201 S. Estes Drive, Space 200 B,North Carolina,27514-7001,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,216 (all undergraduate),12 to 1
310,Aveda Institute-Chicago,(773) 883-1560,www.douglasj.edu/,2828 N Clark St, Chicago,Illinois,60657,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,114 (all undergraduate),11 to 1
311,Aveda Institute-Columbus,(614) 291-2421,www.nurturavedainstitutes.com/columbus/,889 Bethel Road, Columbus,Ohio,43214,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,258 (all undergraduate),15 to 1
312,Aveda Institute-Denver,(303) 567-7500 x1022,www.avedainstitutedenver.com/,700 16th Street, Denver,Colorado,80202,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,403 (all undergraduate),16 to 1
313,Aveda Institute-Des Moines,(515) 224-5244,avedainstitutedesmoines.com/,6905 Mills Civic Pkwy Suite 120, West Des Moines,Iowa,50266,"2-year, Private for-profit",Less than one year certificate<br/>Two but less than 4 years certificate,City: Small,No,173 (all undergraduate),15 to 1
314,Aveda Institute-Los Angeles,(310) 209-2000,www.nurturavedainstitutes.com/los-angeles/,10935 Weyburn Avenue, Los Angeles,California,90024-2808,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,140 (all undergraduate),7 to 1
315,Aveda Institute-Madison,(608) 250-3100,www.avedainstitutemadison.com/,353 East Campus Mall, Madison,Wisconsin,53715-0000,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,100 (all undergraduate),7 to 1
316,Aveda Institute-Maryland,(410) 838-0845 x10,avedainstitutemd.edu/,227 Archer St, Bel Air,Maryland,21014-3639,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Midsize,No,135 (all undergraduate),15 to 1
317,Aveda Institute-Minneapolis,(612) 378-7400,avedaarts.edu/locations/minneapolis,400 Central Ave SE, Minneapolis,Minnesota,55414,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,554 (all undergraduate),16 to 1
318,Aveda Institute-New Mexico,(505) 294-5333 x366,www.avedanm.com/,1816 Central Ave SW, Albuquerque,New Mexico,87104-1160,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,80 (all undergraduate),20 to 1
319,Aveda Institute-New York,(212) 807-1492,avedaarts.edu/,233 Spring St, New York,New York,10013,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,325 (all undergraduate),16 to 1
